,S3,S2,S1,S0,M,CN,WE,A9,A8,A,B,C,UA5-UA0,origin
164,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
165,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
166,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
167,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
170,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
171,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
172,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
173,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
174,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
175,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
176,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
177,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
